Player,PH3M,PH2M,PH1M,PH,PH1H,PH2H,PH3H
M1,0.44,0.5,0.61,0.54,0.49,0.48,0.5
M2,0.43,0.33,0.35,0.35,0.35,0.25,0
M3,0.67,0.68,0.49,0.6,0.67,0.62,0.6
M4,0.47,0.45,0.43,0.4,0.36,0.23,0.33
M5,0.75,0.6,0.47,0.42,0.36,0.4,0.33
M6,0.25,0.38,0.48,0.57,0.65,0.62,0.65
M7,0.29,0.5,0.47,0.56,0.64,0.63,0.65
M8,0.5,0.5,0.52,0.5,0.46,0.64,0.57
M9,0.35,0.33,0.35,0.54,0.72,0.79,0.83
M10,0.57,0.5,0.64,0.59,0.79,0.6,0.57
M11,0.57,0.61,0.56,0.58,0.59,0.62,0.62
M12,0.41,0.43,0.46,0.44,0.42,0.39,0.43
M13,0.4,0.62,0.67,0.61,0.58,0.56,0.5
M14,0.5,0.62,0.6,0.59,0.58,0.59,0.6
F1,0.67,0.61,0.55,0.48,0.42,0.45,0.33
F2,0.43,0.36,0.31,0.34,0.41,0.36,0.4
F3,0.36,0.38,0.33,0.39,0.49,0.42,0.5
F4,0.27,0.33,0.34,0.33,0.29,0.33,0.33
F5,0.22,0.36,0.34,0.35,0.37,0.5,0.2
F6,0.54,0.58,0.52,0.46,0.38,0.41,0.29
F7,0.32,0.28,0.36,0.41,0.49,0.65,0.62
F8,0.67,0.55,0.57,0.53,0.5,0.58,0.73
F9,0.46,0.55,0.47,0.45,0.41,0.47,0.5
F10,0.32,0.34,0.46,0.47,0.47,0.67,0.71
F11,0.5,0.56,0.51,0.53,0.56,0.5,0.39
F12,0.32,0.32,0.27,0.25,0.2,0,NaN
M,0.45,0.47,0.47,0.47,0.48,0.49,0.49
